Gm#,Date,Tm,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,year,team
98,"Saturday, Jul 22",LAD,ATL,W,6,2,,67-31,1,up10.5,Hill,Teheran,,2:51,N,47497,+,,2017,LAD
99,"Sunday, Jul 23",LAD,ATL,W-wo,5,4,10,68-31,1,up10.5,Morrow,Johnson,,3:05,D,44701,++,,2017,LAD
100,"Monday, Jul 24",LAD,MIN,W,6,4,,69-31,1,up11.5,Paredes,Rogers,Jansen,2:57,N,47754,+++,,2017,LAD
101,"Tuesday, Jul 25",LAD,MIN,W,6,2,,70-31,1,up12.5,Maeda,Berrios,Ravin,3:35,N,44403,++++,,2017,LAD
102,"Wednesday, Jul 26",LAD,MIN,W-wo,6,5,,71-31,1,up12.5,Jansen,Kintzler,,3:28,N,50941,+++++,,2017,LAD
103,"Friday, Jul 28",LAD,SFG,W,6,4,,72-31,1,up13.0,Wood,Kontos,Jansen,2:39,N,51426,++++++,,2017,LAD
104,"Saturday, Jul 29",LAD,SFG,W,2,1,,73-31,1,up13.0,Hill,Blach,Jansen,2:43,D,47792,+++++++,,2017,LAD
105,"Sunday, Jul 30",LAD,SFG,W-wo,3,2,11,74-31,1,up14.0,Baez,Suarez,,3:54,N,53495,++++++++,,2017,LAD
115,"Friday, Aug 11",LAD,SDP,L,3,4,,81-34,1,up16.0,Torres,Stripling,Hand,2:59,N,52898,-,,2017,LAD
116,"Saturday, Aug 12",LAD,SDP,W,6,3,,82-34,1,up17.0,Watson,Stammen,Jansen,3:36,N,53230,+,,2017,LAD
117,"Sunday, Aug 13",LAD,SDP,W,6,4,,83-34,1,up18.0,Maeda,Perdomo,Jansen,2:36,D,46128,++,,2017,LAD
118,"Tuesday, Aug 15",LAD,CHW,W,6,1,,84-34,1,up18.5,Morrow,Minaya,,3:05,N,46385,+++,,2017,LAD
119,"Wednesday, Aug 16",LAD,CHW,W-wo,5,4,,85-34,1,up18.5,Stripling,Petricka,,2:59,N,52413,++++,,2017,LAD
127,"Friday, Aug 25",LAD,MIL,W,3,1,,91-36,1,up21.0,Maeda,Anderson,Jansen,3:00,N,52455,++,,2017,LAD
128,"Saturday, Aug 26",LAD,MIL,L,0,3,,91-37,1,up20.0,Davies,Ravin,Knebel,2:58,N,52345,-,,2017,LAD
129,"Sunday, Aug 27",LAD,MIL,L,2,3,,91-38,1,up19.0,Nelson,Darvish,Knebel,3:31,D,51355,--,,2017,LAD
137,"Monday, Sep 4",LAD,ARI,L,0,13,,92-45,1,up12.5,Ray,Hill,,3:00,N,47192,----,,2017,LAD
138,"Tuesday, Sep 5",LAD,ARI,L,1,3,10,92-46,1,up11.5,Hernandez,Baez,Rodney,3:42,N,47039,-----,,2017,LAD
139,"Wednesday, Sep 6",LAD,ARI,L,1,3,,92-47,1,up10.5,Walker,Avilan,Rodney,3:18,N,48612,------,,2017,LAD
140,"Thursday, Sep 7",LAD,COL,L,1,9,,92-48,1,up10.0,Gray,Kershaw,,3:35,N,51492,-------,,2017,LAD
141,"Friday, Sep 8",LAD,COL,L,4,5,,92-49,1,up10.0,Rusin,Darvish,Holland,3:32,N,53632,--------,,2017,LAD
142,"Saturday, Sep 9",LAD,COL,L,5,6,,92-50,1,up10.0,Bettis,Wood,Holland,3:29,N,52884,---------,,2017,LAD
143,"Sunday, Sep 10",LAD,COL,L,1,8,,92-51,1,up 9.0,Chatwood,Hill,,3:16,D,50161,----------,,2017,LAD
154,"Friday, Sep 22",LAD,SFG,W,4,2,,98-56,1,up 9.0,Hill,Samardzija,Jansen,2:55,N,51159,++,,2017,LAD
155,"Saturday, Sep 23",LAD,SFG,L,1,2,,98-57,1,up 9.0,Bumgarner,Ryu,Dyson,2:53,N,51093,-,,2017,LAD
156,"Sunday, Sep 24",LAD,SFG,W,3,1,,99-57,1,up 9.0,Kershaw,Stratton,Morrow,2:34,D,46774,+,,2017,LAD
157,"Monday, Sep 25",LAD,SDP,W,9,3,,100-57,1,up10.0,Darvish,Wood,,3:06,N,49419,++,,2017,LAD
158,"Tuesday, Sep 26",LAD,SDP,W,9,2,,101-57,1,up10.0,Wood,Lamet,,3:23,N,47432,+++,,2017,LAD
159,"Wednesday, Sep 27",LAD,SDP,W,10,0,,102-57,1,up10.0,Hill,Richard,,2:42,N,47273,++++,,2017,LAD
1,"Thursday, Mar 29",LAD,SFG,L,0,1,,0-1,3,1.0,Blach,Kershaw,Strickland,2:55,D,53595,-,,2018,LAD
2,"Friday, Mar 30",LAD,SFG,L,0,1,,0-2,3,2.0,Watson,Jansen,Strickland,2:23,N,53478,--,,2018,LAD
3,"Saturday, Mar 31",LAD,SFG,W,5,0,,1-2,3,1.0,Maeda,Holland,,2:43,N,45938,+,,2018,LAD
4,"Sunday, Apr 1",LAD,SFG,W,9,0,,2-2,2,0.5,Hill,Stratton,,2:47,N,41866,++,,2018,LAD
10,"Tuesday, Apr 10",LAD,OAK,W,4,0,,4-6,3,3.5,Ryu,Manaea,Jansen,2:49,N,41243,++,,2018,LAD
11,"Wednesday, Apr 11",LAD,OAK,L,6,16,,4-7,4,4.5,Mengden,Wood,,3:50,N,49394,-,,2018,LAD
12,"Friday, Apr 13",LAD,ARI,L,7,8,,4-8,4,5.5,Greinke,Maeda,Boxberger,3:30,N,43791,--,,2018,LAD
13,"Saturday, Apr 14",LAD,ARI,L,1,9,,4-9,5,6.5,McFarland,Hill,,3:10,N,44306,---,,2018,LAD
14,"Sunday, Apr 15",LAD,ARI,W,7,2,,5-9,5,5.5,Kershaw,Godley,,3:09,D,47527,+,,2018,LAD
18,"Friday, Apr 20",LAD,WSN,L,2,5,,8-10,3,4.5,Scherzer,Kershaw,Doolittle,3:09,N,50211,-,,2018,LAD
19,"Saturday, Apr 21",LAD,WSN,W,4,0,,9-10,3,4.5,Ryu,Strasburg,,2:29,N,50908,+,,2018,LAD
20,"Sunday, Apr 22",LAD,WSN,W,4,3,,10-10,3,4.5,Fields,Gott,Jansen,3:21,N,51297,++,,2018,LAD
21,"Monday, Apr 23",LAD,MIA,W,2,1,,11-10,2,4.0,Liberatore,Barraclough,Fields,2:59,N,46909,+++,,2018,LAD
22,"Tuesday, Apr 24",LAD,MIA,L,2,3,,11-11,3,5.0,Steckenrider,Baez,Ziegler,3:06,N,39284,-,,2018,LAD
23,"Wednesday, Apr 25",LAD,MIA,L,6,8,,11-12,3,5.0,Gonzalez,Kershaw,,3:54,D,39004,--,,2018,LAD
35,"Tuesday, May 8",LAD,ARI,L,5,8,12,15-20,4,9.0,McFarland,Garcia,,4:29,N,45894,---,,2018,LAD
36,"Wednesday, May 9",LAD,ARI,W,6,3,,16-20,4,8.0,Baez,Salas,Jansen,3:48,N,45600,+,,2018,LAD
37,"Thursday, May 10",LAD,CIN,L,1,4,,16-21,4,8.0,Mahle,Buehler,Iglesias,2:59,N,47383,-,,2018,LAD
38,"Friday, May 11",LAD,CIN,L,2,6,,16-22,4,8.0,Brice,Maeda,Iglesias,3:28,N,46979,--,,2018,LAD
39,"Saturday, May 12",LAD,CIN,L,3,5,,16-23,4,8.0,Bailey,Chargois,Hughes,3:17,N,49911,---,,2018,LAD
40,"Sunday, May 13",LAD,CIN,L,3,5,,16-24,4,8.0,Castillo,Hill,Iglesias,2:55,D,44787,----,,2018,LAD
47,"Monday, May 21",LAD,COL,L,1,2,,20-27,4,5.5,Marquez,Baez,Davis,2:35,N,42805,-,,2018,LAD
48,"Tuesday, May 22",LAD,COL,W,5,3,,21-27,4,4.5,Chargois,Shaw,Jansen,2:48,N,43719,+,,2018,LAD
49,"Wednesday, May 23",LAD,COL,W,3,0,,22-27,4,3.5,Maeda,Freeland,Jansen,2:38,N,45884,++,,2018,LAD
50,"Friday, May 25",LAD,SDP,W,4,1,,23-27,4,3.5,Stripling,Richard,Jansen,2:26,N,44612,+++,,2018,LAD
51,"Saturday, May 26",LAD,SDP,L,5,7,,23-28,4,3.5,Stammen,Hudson,Hand,3:12,N,43920,-,,2018,LAD
52,"Sunday, May 27",LAD,SDP,W,6,1,,24-28,4,3.5,Buehler,Cimber,,2:26,D,46650,+,,2018,LAD
53,"Monday, May 28",LAD,PHI,W,5,4,,25-28,3,3.5,Garcia,Morgan,Jansen,3:32,N,39759,++,,2018,LAD
54,"Tuesday, May 29",LAD,PHI,L,1,6,,25-29,3,4.5,Arrieta,Maeda,,3:26,N,40044,-,,2018,LAD
55,"Wednesday, May 30",LAD,PHI,W,8,2,,26-29,3,3.5,Stripling,Eflin,,3:03,N,43302,+,,2018,LAD
56,"Thursday, May 31",LAD,PHI,L,1,2,,26-30,3,4.0,Nola,Fields,Dominguez,2:40,D,40986,-,,2018,LAD
63,"Friday, Jun 8",LAD,ATL,W,7,3,,32-31,2,1.5,Buehler,McCarthy,,2:52,N,47262,++,,2018,LAD
64,"Saturday, Jun 9",LAD,ATL,L,3,5,,32-32,2,2.5,Sanchez,Wood,Vizcaino,3:11,N,52718,-,,2018,LAD
65,"Sunday, Jun 10",LAD,ATL,W,7,2,,33-32,2,2.5,Stripling,Newcomb,,2:37,D,47711,+,,2018,LAD
66,"Tuesday, Jun 12",LAD,TEX,W,12,5,,34-32,2,3.0,Paredes,Colon,Corcino,3:08,N,48233,++,,2018,LAD
67,"Wednesday, Jun 13",LAD,TEX,W-wo,3,2,11,35-32,2,2.0,Liberatore,Chavez,,3:49,N,41303,+++,,2018,LAD
68,"Friday, Jun 15",LAD,SFG,W,3,2,,36-32,2,2.5,Stripling,Holland,Jansen,2:53,N,53433,++++,,2018,LAD
69,"Saturday, Jun 16",LAD,SFG,W,3,1,,37-32,2,1.5,Wood,Bumgarner,Jansen,2:50,N,53706,+++++,,2018,LAD
70,"Sunday, Jun 17",LAD,SFG,L,1,4,,37-33,2,1.5,Stratton,Ferguson,,2:54,D,49541,-,,2018,LAD
77,"Monday, Jun 25",LAD,CHC,W,2,1,,42-35,2,1.5,Maeda,Underwood,Jansen,2:32,N,41750,++++,,2018,LAD
78,"Tuesday, Jun 26",LAD,CHC,L,4,9,,42-36,2,2.5,Lester,Garcia,,3:26,N,53904,-,,2018,LAD
79,"Wednesday, Jun 27",LAD,CHC,W,7,5,,43-36,2,2.5,Wood,Hendricks,Jansen,3:08,N,42121,+,,2018,LAD
80,"Thursday, Jun 28",LAD,CHC,L,5,11,,43-37,2,3.5,Cishek,Buehler,,3:03,D,52187,-,,2018,LAD
81,"Friday, Jun 29",LAD,COL,L,1,3,,43-38,2,3.5,Anderson,Hill,Davis,2:39,N,41909,--,,2018,LAD
82,"Saturday, Jun 30",LAD,COL,L,1,3,,43-39,2,3.5,Marquez,Maeda,Ottavino,2:39,D,46172,---,,2018,LAD
83,"Sunday, Jul 1",LAD,COL,W,6,4,,44-39,2,2.5,Hudson,Ottavino,Jansen,3:00,D,45725,+,,2018,LAD
84,"Monday, Jul 2",LAD,PIT,W,17,1,,45-39,2,1.5,Wood,Kingham,Ferguson,3:20,N,45207,++,,2018,LAD
85,"Tuesday, Jul 3",LAD,PIT,W,8,3,,46-39,2,1.5,Kershaw,Nova,,2:57,N,48819,+++,,2018,LAD
86,"Wednesday, Jul 4",LAD,PIT,W,6,4,,47-39,2,0.5,Hill,Holmes,Jansen,3:23,N,53139,++++,,2018,LAD
94,"Friday, Jul 13",LAD,LAA,W,3,2,,52-42,1,up 0.5,Ferguson,Bedrosian,Alexander,3:13,N,53368,+++,,2018,LAD
95,"Saturday, Jul 14",LAD,LAA,L,4,5,10,52-43,2,0.5,Alvarez,Jansen,,3:47,D,53797,-,,2018,LAD
96,"Sunday, Jul 15",LAD,LAA,W,5,3,,53-43,1,up 0.5,Maeda,Cole,Jansen,3:10,D,47871,+,,2018,LAD
107,"Monday, Jul 30",LAD,MIL,L,2,5,,59-48,1,up 0.5,Hader,Maeda,,3:44,N,44933,--,,2018,LAD
108,"Tuesday, Jul 31",LAD,MIL,L,0,1,,59-49,2,0.5,Miley,Buehler,Jeffress,2:17,N,44818,---,,2018,LAD
109,"Wednesday, Aug 1",LAD,MIL,W-wo,6,4,10,60-49,1,Tied,Floro,Albers,,3:19,N,41686,+,,2018,LAD
110,"Thursday, Aug 2",LAD,MIL,W,21,5,,61-49,1,up 1.0,Kershaw,Chacin,,3:42,N,45087,++,,2018,LAD
111,"Friday, Aug 3",LAD,HOU,L,1,2,,61-50,1,Tied,Verlander,Wood,Rondon,2:59,N,53598,-,,2018,LAD
112,"Saturday, Aug 4",LAD,HOU,L,0,14,,61-51,2,1.0,Peacock,Maeda,,3:37,N,53119,--,,2018,LAD
113,"Sunday, Aug 5",LAD,HOU,W,3,2,,62-51,1,Tied,Buehler,Cole,Jansen,2:54,D,50628,+,,2018,LAD
120,"Monday, Aug 13",LAD,SFG,L,2,5,,64-56,2,1.0,Black,Alexander,Smith,3:05,N,45229,----,,2018,LAD
121,"Tuesday, Aug 14",LAD,SFG,L,1,2,,64-57,3,2.0,Dyson,Maeda,Smith,3:09,N,46734,-----,,2018,LAD
122,"Wednesday, Aug 15",LAD,SFG,W-wo,4,3,12,65-57,2,1.5,Baez,Kelly,,4:05,N,44987,+,,2018,LAD
126,"Monday, Aug 20",LAD,STL,L,3,5,,67-59,3,2.5,Cecil,Jansen,Norris,4:10,N,42402,-,,2018,LAD
127,"Tuesday, Aug 21",LAD,STL,L,2,5,,67-60,3,3.5,Weaver,Ryu,Norris,3:25,N,43923,--,,2018,LAD
128,"Wednesday, Aug 22",LAD,STL,L,1,3,,67-61,3,4.5,Hudson,Jansen,Hicks,3:02,N,48247,---,,2018,LAD
129,"Friday, Aug 24",LAD,SDP,W,11,1,,68-61,3,3.5,Hill,Richard,,2:48,N,47559,+,,2018,LAD
130,"Saturday, Aug 25",LAD,SDP,W-wo,5,4,12,69-61,3,2.5,Ferguson,Stock,,3:26,N,53528,++,,2018,LAD
131,"Sunday, Aug 26",LAD,SDP,W,7,3,,70-61,3,2.5,Ryu,Erlin,,3:07,D,43252,+++,,2018,LAD
134,"Thursday, Aug 30",LAD,ARI,L,1,3,,72-62,3,2.0,Ray,Hill,Boxberger,3:14,N,45150,-,,2018,LAD
135,"Friday, Aug 31",LAD,ARI,W,3,2,,73-62,2,1.0,Floro,Greinke,Jansen,2:33,N,48965,+,,2018,LAD
136,"Saturday, Sep 1",LAD,ARI,W,3,2,,74-62,1,Tied,Maeda,Bradley,Jansen,2:59,N,52394,++,,2018,LAD
137,"Sunday, Sep 2",LAD,ARI,W-wo,3,2,,75-62,1,up 0.5,Jansen,Boxberger,,3:35,D,48517,+++,,2018,LAD
138,"Monday, Sep 3",LAD,NYM,L,2,4,,75-63,2,0.5,Smith,Maeda,Gsellman,3:30,N,45206,-,,2018,LAD
139,"Tuesday, Sep 4",LAD,NYM,W,11,4,,76-63,2,0.5,Hill,Vargas,,3:17,N,46651,+,,2018,LAD
140,"Wednesday, Sep 5",LAD,NYM,L,3,7,,76-64,2,1.5,Wheeler,Ryu,,2:39,D,40317,-,,2018,LAD
151,"Monday, Sep 17",LAD,COL,W,8,2,,83-68,1,up 0.5,Ryu,Gray,,3:07,N,45970,+,,2018,LAD
152,"Tuesday, Sep 18",LAD,COL,W-wo,3,2,10,84-68,1,up 1.5,Floro,Ottavino,,3:13,N,49537,++,,2018,LAD
153,"Wednesday, Sep 19",LAD,COL,W,5,2,,85-68,1,up 2.5,Ferguson,Oberg,Jansen,3:05,N,50141,+++,,2018,LAD
154,"Friday, Sep 21",LAD,SDP,L,3,5,,85-69,1,up 1.5,Lauer,Stripling,Yates,3:57,N,52458,-,,2018,LAD
155,"Saturday, Sep 22",LAD,SDP,W,7,2,,86-69,1,up 1.5,Hill,Nix,Jansen,2:51,N,53536,+,,2018,LAD
156,"Sunday, Sep 23",LAD,SDP,W,14,0,,87-69,1,up 1.5,Ryu,Lucchesi,,3:11,D,50250,++,,2018,LAD
163,"Monday, Oct 1",LAD,COL,W,5,2,,92-71,1,up 1.0,Buehler,Marquez,,3:21,D,47816,++++,,2018,LAD
1,"Thursday, Mar 28",LAD,ARI,W,12,5,,1-0,1,Tied,Ryu,Greinke,,2:49,D,53086,+,,2019,LAD
2,"Friday, Mar 29",LAD,ARI,L,4,5,13,1-1,3,1.0,Andriese,Garcia,Holland,6:05,N,42266,-,,2019,LAD
3,"Saturday, Mar 30",LAD,ARI,W,18,5,,2-1,1,Tied,Maeda,Godley,,3:14,N,50626,+,,2019,LAD
4,"Sunday, Mar 31",LAD,ARI,W,8,7,,3-1,1,Tied,Floro,Hirano,Jansen,3:29,D,43815,++,,2019,LAD
5,"Monday, Apr 1",LAD,SFG,L,2,4,,3-2,1,Tied,Gott,Kelly,Smith,2:59,N,40477,-,,2019,LAD
6,"Tuesday, Apr 2",LAD,SFG,W,6,5,,4-2,1,up 1.0,Ryu,Bumgarner,Jansen,2:50,N,42887,+,,2019,LAD
7,"Wednesday, Apr 3",LAD,SFG,W,5,3,,5-2,1,up 1.0,Alexander,Moronta,Jansen,2:59,N,51170,++,,2019,LAD
15,"Friday, Apr 12",LAD,MIL,L,5,8,,8-7,2,2.0,Albers,Urias,,3:54,N,43643,-----,,2019,LAD
16,"Saturday, Apr 13",LAD,MIL,L,1,4,,8-8,2,3.0,Davies,Ferguson,Guerra,2:54,N,53922,------,,2019,LAD
17,"Sunday, Apr 14",LAD,MIL,W,7,1,,9-8,2,2.0,Stripling,Chacin,,2:34,D,45235,+,,2019,LAD
18,"Monday, Apr 15",LAD,CIN,W-wo,4,3,,10-8,2,1.0,Jansen,Iglesias,,2:49,N,52974,++,,2019,LAD
19,"Tuesday, Apr 16",LAD,CIN,W,6,1,,11-8,1,Tied,Maeda,Mahle,,2:51,N,45406,+++,,2019,LAD
20,"Wednesday, Apr 17",LAD,CIN,W,3,2,,12-8,1,up 0.5,Buehler,Gray,Jansen,2:37,D,42691,++++,,2019,LAD
28,"Friday, Apr 26",LAD,PIT,W,6,2,,17-11,1,up 0.5,Ryu,Archer,,2:52,N,50748,++,,2019,LAD
29,"Saturday, Apr 27",LAD,PIT,W,3,1,,18-11,1,up 1.0,Kershaw,Musgrove,Jansen,2:58,N,47877,+++,,2019,LAD
30,"Sunday, Apr 28",LAD,PIT,W,7,6,,19-11,1,up 2.0,Urias,Rodriguez,Jansen,3:07,D,52875,++++,,2019,LAD
37,"Monday, May 6",LAD,ATL,W,5,3,,23-14,1,up 2.0,Buehler,Gausman,Urias,2:45,N,43393,+,,2019,LAD
38,"Tuesday, May 7",LAD,ATL,W,9,0,,24-14,1,up 3.0,Ryu,Fried,,2:42,N,47337,++,,2019,LAD
39,"Wednesday, May 8",LAD,ATL,W,9,4,,25-14,1,up 3.0,Kershaw,Foltynewicz,,2:58,N,53707,+++,,2019,LAD
40,"Thursday, May 9",LAD,WSN,L,0,6,,25-15,1,up 2.0,Corbin,Hill,,3:11,N,42851,-,,2019,LAD
41,"Friday, May 10",LAD,WSN,W,5,0,,26-15,1,up 3.0,Maeda,Sanchez,Urias,2:58,N,43533,+,,2019,LAD
42,"Saturday, May 11",LAD,WSN,L,2,5,,26-16,1,up 3.0,Scherzer,Baez,Doolittle,2:58,N,53647,-,,2019,LAD
43,"Sunday, May 12",LAD,WSN,W,6,0,,27-16,1,up 4.0,Ryu,Strasburg,,2:46,D,45667,+,,2019,LAD
44,"Tuesday, May 14",LAD,SDP,W,6,3,,28-16,1,up 4.5,Kershaw,Paddack,Jansen,2:32,N,46460,++,,2019,LAD
45,"Wednesday, May 15",LAD,SDP,W,2,0,,29-16,1,up 4.5,Maeda,Strahm,Jansen,3:06,N,41671,+++,,2019,LAD
54,"Monday, May 27",LAD,NYM,W,9,5,,36-18,1,up 8.0,Kershaw,Bashlor,Jansen,3:42,N,47816,++++,,2019,LAD
55,"Tuesday, May 28",LAD,NYM,L,3,7,,36-19,1,up 7.0,Matz,Garcia,,3:22,N,45713,-,,2019,LAD
56,"Wednesday, May 29",LAD,NYM,W-wo,9,8,,37-19,1,up 8.0,Alexander,Diaz,,3:31,N,40559,+,,2019,LAD
57,"Thursday, May 30",LAD,NYM,W,2,0,,38-19,1,up 8.5,Ryu,Vargas,Jansen,2:47,N,47848,++,,2019,LAD
58,"Friday, May 31",LAD,PHI,W,6,3,,39-19,1,up 8.5,Maeda,Arrieta,Jansen,2:59,N,54307,+++,,2019,LAD
59,"Saturday, Jun 1",LAD,PHI,W-wo,4,3,,40-19,1,up 9.0,Urias,Neris,,2:48,N,53507,++++,,2019,LAD
60,"Sunday, Jun 2",LAD,PHI,W,8,0,,41-19,1,up 9.0,Hill,Velasquez,,2:58,D,49162,+++++,,2019,LAD
69,"Thursday, Jun 13",LAD,CHC,W,7,3,,46-23,1,up 9.5,Kershaw,Lester,Urias,2:48,N,44970,+,,2019,LAD
70,"Friday, Jun 14",LAD,CHC,W,5,3,,47-23,1,up10.5,Hill,Hendricks,Jansen,3:06,N,46631,++,,2019,LAD
71,"Saturday, Jun 15",LAD,CHC,L,1,2,,47-24,1,up 9.5,Ryan,Jansen,Strop,2:49,N,51596,-,,2019,LAD
72,"Sunday, Jun 16",LAD,CHC,W,3,2,,48-24,1,up10.5,Stripling,Cishek,Jansen,3:05,D,53817,+,,2019,LAD
73,"Monday, Jun 17",LAD,SFG,L,2,3,,48-25,1,up10.0,Beede,Maeda,Smith,3:11,N,42479,-,,2019,LAD
74,"Tuesday, Jun 18",LAD,SFG,W,9,0,,49-25,1,up10.0,Kershaw,Anderson,,2:59,N,48219,+,,2019,LAD
75,"Wednesday, Jun 19",LAD,SFG,W,9,2,,50-25,1,up10.0,Floro,Pomeranz,,2:47,N,43802,++,,2019,LAD
76,"Thursday, Jun 20",LAD,SFG,W,9,8,,51-25,1,up10.0,Chargois,Bumgarner,Jansen,3:25,N,43742,+++,,2019,LAD
77,"Friday, Jun 21",LAD,COL,W-wo,4,2,,52-25,1,up11.0,Buehler,Diaz,,2:12,N,54044,++++,,2019,LAD
78,"Saturday, Jun 22",LAD,COL,W-wo,5,4,11,53-25,1,up12.0,Kelly,Tinoco,,4:15,D,53096,+++++,,2019,LAD
79,"Sunday, Jun 23",LAD,COL,W-wo,6,3,,54-25,1,up13.0,Jansen,Oberg,,3:10,D,50023,++++++,,2019,LAD
87,"Tuesday, Jul 2",LAD,ARI,W-wo,5,4,,58-29,1,up13.0,Garcia,Holland,,3:26,N,52969,++,,2019,LAD
88,"Wednesday, Jul 3",LAD,ARI,W-wo,5,4,10,59-29,1,up14.0,Kelly,Lopez,,3:19,N,53327,+++,,2019,LAD
89,"Thursday, Jul 4",LAD,SDP,W,5,1,,60-29,1,up14.5,Ryu,Lamet,,3:02,N,53801,++++,,2019,LAD
90,"Friday, Jul 5",LAD,SDP,L,2,3,,60-30,1,up14.5,Stammen,Garcia,Yates,2:58,N,49790,-,,2019,LAD
91,"Saturday, Jul 6",LAD,SDP,L,1,3,,60-31,1,up14.5,Wingenter,Maeda,Yates,2:52,N,53610,--,,2019,LAD
92,"Sunday, Jul 7",LAD,SDP,L,3,5,,60-32,1,up13.5,Lucchesi,Stripling,Yates,2:58,D,44171,---,,2019,LAD
100,"Friday, Jul 19",LAD,MIA,W,2,1,,65-35,1,up14.0,Ryu,Gallen,Jansen,3:00,N,52471,+,,2019,LAD
101,"Saturday, Jul 20",LAD,MIA,W,10,6,,66-35,1,up15.0,Baez,Hernandez,,3:27,N,53778,++,,2019,LAD
102,"Sunday, Jul 21",LAD,MIA,W,9,0,,67-35,1,up16.0,Buehler,Yamamoto,,2:41,D,47469,+++,,2019,LAD
103,"Tuesday, Jul 23",LAD,LAA,L,4,5,,67-36,1,up14.5,Pena,Maeda,Robles,3:54,N,53725,-,,2019,LAD
104,"Wednesday, Jul 24",LAD,LAA,L,2,3,,67-37,1,up14.5,Barria,Stripling,Robles,3:15,N,53731,--,,2019,LAD
111,"Thursday, Aug 1",LAD,SDP,W,8,2,,72-39,1,up16.0,Kershaw,Lucchesi,,3:25,N,53181,+++,,2019,LAD
112,"Friday, Aug 2",LAD,SDP,L,2,5,,72-40,1,up16.0,Lauer,May,Yates,3:06,N,50780,-,,2019,LAD
113,"Saturday, Aug 3",LAD,SDP,W,4,1,,73-40,1,up16.0,Buehler,Quantrill,,2:18,N,54010,+,,2019,LAD
114,"Sunday, Aug 4",LAD,SDP,W-wo,11,10,,74-40,1,up17.0,Baez,Yates,,3:54,D,44110,++,,2019,LAD
115,"Monday, Aug 5",LAD,STL,W,8,0,,75-40,1,up18.0,Gonsolin,Wacha,,2:59,N,45254,+++,,2019,LAD
116,"Tuesday, Aug 6",LAD,STL,W,3,1,,76-40,1,up18.0,Kershaw,Mikolas,Jansen,2:55,N,53070,++++,,2019,LAD
117,"Wednesday, Aug 7",LAD,STL,W-wo,2,1,,77-40,1,up18.0,Sadler,Martinez,,3:01,D,48994,+++++,,2019,LAD
118,"Friday, Aug 9",LAD,ARI,L,2,3,11,77-41,1,up17.0,Chafin,Urias,Bradley,3:49,N,49538,-,,2019,LAD
119,"Saturday, Aug 10",LAD,ARI,W,4,0,,78-41,1,up18.0,Maeda,Young,,3:18,N,52606,+,,2019,LAD
120,"Sunday, Aug 11",LAD,ARI,W,9,3,,79-41,1,up19.0,Ryu,Leake,,2:40,D,44619,++,,2019,LAD
127,"Tuesday, Aug 20",LAD,TOR,W,16,3,,83-44,1,up19.0,Kershaw,Reid-Foley,,3:20,N,52030,+,,2019,LAD
128,"Wednesday, Aug 21",LAD,TOR,W-wo,2,1,10,84-44,1,up20.0,Baez,Mayza,,3:10,N,44106,++,,2019,LAD
129,"Thursday, Aug 22",LAD,TOR,W-wo,3,2,,85-44,1,up20.5,Sadler,Law,,2:46,N,49796,+++,,2019,LAD
130,"Friday, Aug 23",LAD,NYY,L,2,10,,85-45,1,up20.5,Paxton,Ryu,,3:16,N,53775,-,,2019,LAD
131,"Saturday, Aug 24",LAD,NYY,W,2,1,,86-45,1,up21.0,Gonsolin,Sabathia,Jansen,3:19,D,53803,+,,2019,LAD
132,"Sunday, Aug 25",LAD,NYY,L,1,5,,86-46,1,up20.0,German,Kershaw,,2:51,D,53828,-,,2019,LAD
140,"Monday, Sep 2",LAD,COL,W,16,9,,90-50,1,up18.0,Buehler,Lambert,Maeda,4:06,N,45910,++,,2019,LAD
141,"Tuesday, Sep 3",LAD,COL,W,5,3,,91-50,1,up18.0,Ferguson,Shaw,Jansen,3:14,N,52231,+++,,2019,LAD
142,"Wednesday, Sep 4",LAD,COL,W,7,3,,92-50,1,up18.0,Kolarek,Senzatela,,3:12,N,45761,++++,,2019,LAD
143,"Friday, Sep 6",LAD,SFG,L,4,5,,92-51,1,up17.0,Samardzija,Kershaw,Smith,3:22,N,53317,-,,2019,LAD
144,"Saturday, Sep 7",LAD,SFG,L,0,1,,92-52,1,up16.0,Beede,Gonsolin,Gustave,3:21,N,53870,--,,2019,LAD
145,"Sunday, Sep 8",LAD,SFG,W,5,0,,93-52,1,up17.0,Maeda,Rodriguez,,2:46,D,52310,+,,2019,LAD
152,"Tuesday, Sep 17",LAD,TBR,W,7,5,,98-54,1,up21.0,Maeda,Fairbanks,Jansen,3:43,N,48663,++,,2019,LAD
153,"Wednesday, Sep 18",LAD,TBR,L,7,8,11,98-55,1,up20.0,Poche,Sborz,Fairbanks,4:40,N,48253,-,,2019,LAD
154,"Friday, Sep 20",LAD,COL,W,12,5,,99-55,1,up20.0,Kershaw,Lambert,,3:39,N,53704,+,,2019,LAD
155,"Saturday, Sep 21",LAD,COL,L,2,4,,99-56,1,up19.0,Gonzalez,Buehler,Diaz,3:01,N,50705,-,,2019,LAD
156,"Sunday, Sep 22",LAD,COL,W,7,4,,100-56,1,up20.0,Ryu,Senzatela,,3:13,D,47948,+,,2019,LAD
