Gm#,Date,Tm,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,year,team
97,"Thursday, Jul 18",BOS,TOR,W,5,0,,53-44,3,10.0,Sale,Pannone,,2:50,D,35357,++,,2019,BOS
104,"Thursday, Jul 25",BOS,NYY,W,19,3,,57-47,3,10.0,Porcello,Tanaka,,3:28,N,37591,+,,2019,BOS
105,"Friday, Jul 26",BOS,NYY,W,10,5,,58-47,3,9.0,Cashner,Paxton,,3:16,N,37095,++,,2019,BOS
106,"Saturday, Jul 27",BOS,NYY,W,9,5,,59-47,2,8.0,Rodriguez,Sabathia,,3:34,D,36862,+++,,2019,BOS
107,"Sunday, Jul 28",BOS,NYY,L,6,9,,59-48,3,9.0,German,Sale,,3:28,N,37429,-,,2019,BOS
108,"Tuesday, Jul 30",BOS,TBR,L,5,6,,59-49,3,9.0,Kolarek,Taylor,Pagan,4:05,N,36412,--,,2019,BOS
109,"Wednesday, Jul 31",BOS,TBR,L,5,8,,59-50,3,10.0,Yarbrough,Porcello,Roe,3:50,N,33046,---,,2019,BOS
110,"Thursday, Aug 1",BOS,TBR,L,4,9,,59-51,3,10.5,McKay,Cashner,,3:20,N,37225,----,,2019,BOS
115,"Monday, Aug 5",BOS,KCR,W,7,5,,60-55,3,14.5,Porcello,Montgomery,Workman,2:56,N,33636,+,,2019,BOS
116,"Tuesday, Aug 6",BOS,KCR,L,2,6,,60-56,3,15.5,Junis,Cashner,,2:48,N,36360,-,,2019,BOS
117,"Wednesday, Aug 7",BOS,KCR,W-wo,5,4,10,61-56,3,15.5,Taylor,Lovelady,,3:48,N,41578,+,,2019,BOS
118,"Thursday, Aug 8",BOS,LAA,W,3,0,,62-56,3,15.5,Sale,Peters,Workman,2:16,N,34744,++,,2019,BOS
119,"Friday, Aug 9",BOS,LAA,W,16,4,,63-56,3,14.5,Walden,Barria,,3:33,N,36650,+++,,2019,BOS
120,"Saturday, Aug 10",BOS,LAA,L,4,12,,63-57,3,14.5,Cole,Porcello,,3:28,D,36390,-,,2019,BOS
121,"Sunday, Aug 11",BOS,LAA,L,4,5,10,63-58,3,15.5,Robles,Weber,,4:02,D,36709,--,,2019,BOS
125,"Friday, Aug 16",BOS,BAL,W,9,1,,66-59,3,16.5,Porcello,Brooks,,2:41,N,37213,+++,,2019,BOS
126,"Saturday, Aug 17",BOS,BAL,W,4,0,,67-59,3,16.5,Rodriguez,Wojciechowski,,3:11,N,36744,++++,,2019,BOS
127,"Sunday, Aug 18",BOS,BAL,W,13,7,,68-59,3,15.5,Walden,Fry,,3:38,D,36350,+++++,,2019,BOS
128,"Tuesday, Aug 20",BOS,PHI,L,2,3,,68-60,3,15.5,Nola,Johnson,Neris,3:17,N,37712,-,,2019,BOS
129,"Wednesday, Aug 21",BOS,PHI,L,2,5,,68-61,3,15.5,Hughes,Porcello,Neris,3:39,N,37077,--,,2019,BOS
138,"Tuesday, Sep 3",BOS,MIN,L,5,6,,74-64,3,16.0,Thorpe,Porcello,Rogers,3:28,N,35129,-,,2019,BOS
139,"Wednesday, Sep 4",BOS,MIN,W,6,2,,75-64,3,16.0,Rodriguez,Berrios,Workman,3:22,N,35218,+,,2019,BOS
140,"Thursday, Sep 5",BOS,MIN,L,1,2,,75-65,3,16.5,Perez,Cashner,Rogers,2:58,N,32632,-,,2019,BOS
141,"Friday, Sep 6",BOS,NYY,W,6,1,,76-65,3,15.5,Walden,German,,3:08,N,36162,+,,2019,BOS
142,"Saturday, Sep 7",BOS,NYY,L,1,5,,76-66,3,16.5,Happ,Weber,,3:29,D,36619,-,,2019,BOS
143,"Sunday, Sep 8",BOS,NYY,L,5,10,,76-67,3,17.5,Green,Porcello,,3:48,N,35681,--,,2019,BOS
144,"Monday, Sep 9",BOS,NYY,L,0,5,,76-68,3,18.5,Paxton,Rodriguez,,3:25,N,35884,---,,2019,BOS
150,"Tuesday, Sep 17",BOS,SFG,L,6,7,15,79-71,3,19.0,Rodriguez,Kelley,,5:54,N,35925,-,,2019,BOS
151,"Wednesday, Sep 18",BOS,SFG,L,3,11,,79-72,3,19.0,Samardzija,Chacin,,3:34,N,35697,--,,2019,BOS
152,"Thursday, Sep 19",BOS,SFG,W,5,4,,80-72,3,19.0,Rodriguez,Bumgarner,Workman,3:17,D,35816,+,,2019,BOS
160,"Friday, Sep 27",BOS,BAL,L,1,4,,83-77,3,20.0,Wojciechowski,Eovaldi,,3:02,N,34533,--,,2019,BOS
161,"Saturday, Sep 28",BOS,BAL,L,4,9,,83-78,3,20.0,Means,Chacin,,3:37,D,36414,---,,2019,BOS
162,"Sunday, Sep 29",BOS,BAL,W-wo,5,4,,84-78,3,19.0,Workman,Tate,,3:22,D,35427,+,,2019,BOS
7,"Monday, Apr 10",CHC,LAD,W-wo,3,2,,5-2,1,Tied,Davis,Romo,,3:37,N,41166,+++,,2017,CHC
8,"Wednesday, Apr 12",CHC,LAD,L,0,2,,5-3,2,1.5,McCarthy,Lackey,Jansen,3:20,N,40844,-,,2017,CHC
9,"Thursday, Apr 13",CHC,LAD,W,4,0,,6-3,2,0.5,Anderson,Ryu,,3:01,D,38379,+,,2017,CHC
10,"Friday, Apr 14",CHC,PIT,L,2,4,,6-4,2,0.5,Cole,Hendricks,Watson,3:15,D,40430,-,,2017,CHC
11,"Saturday, Apr 15",CHC,PIT,L,7,8,,6-5,2,1.5,Williams,Strop,Watson,3:25,D,41814,--,,2017,CHC
12,"Sunday, Apr 16",CHC,PIT,L,1,6,,6-6,3,1.5,Taillon,Uehara,,3:02,D,39422,---,,2017,CHC
13,"Monday, Apr 17",CHC,MIL,L,3,6,,6-7,3,2.0,Anderson,Lackey,Feliz,3:00,N,38636,----,,2017,CHC
14,"Tuesday, Apr 18",CHC,MIL,W,9,7,,7-7,3,2.0,Grimm,Hughes,Davis,3:00,N,39026,+,,2017,CHC
15,"Wednesday, Apr 19",CHC,MIL,W-wo,7,4,,8-7,2,1.0,Davis,Feliz,,3:30,D,34864,++,,2017,CHC
25,"Monday, May 1",CHC,PHI,L,2,10,,13-12,1,Tied,Velasquez,Anderson,,3:06,N,38567,--,,2017,CHC
26,"Tuesday, May 2",CHC,PHI,W,8,3,,14-12,1,up 1.0,Lester,Hellickson,,3:24,N,38660,+,,2017,CHC
27,"Wednesday, May 3",CHC,PHI,W,5,4,,15-12,1,up 1.5,Arrieta,Eickhoff,Davis,3:09,N,39335,++,,2017,CHC
28,"Thursday, May 4",CHC,PHI,W-wo,5,4,13,16-12,1,up 1.5,Uehara,Rodriguez,,4:22,D,36394,+++,,2017,CHC
29,"Friday, May 5",CHC,NYY,L,2,3,,16-13,1,up 1.0,Holder,Rondon,Chapman,3:17,D,40395,-,,2017,CHC
30,"Saturday, May 6",CHC,NYY,L,6,11,,16-14,1,Tied,Montgomery,Anderson,,3:19,N,40735,--,,2017,CHC
31,"Sunday, May 7",CHC,NYY,L,4,5,18,16-15,3,1.0,Shreve,Strop,,6:05,N,40584,---,,2017,CHC
38,"Tuesday, May 16",CHC,CIN,W,9,5,,19-19,3,2.5,Lackey,Arroyo,,3:07,N,40653,+,,2017,CHC
39,"Wednesday, May 17",CHC,CIN,W,7,5,,20-19,3,2.0,Hendricks,Feldman,Davis,3:06,N,38715,++,,2017,CHC
40,"Thursday, May 18",CHC,CIN,W,9,5,,21-19,3,2.0,Lester,Garrett,Uehara,3:03,D,36023,+++,,2017,CHC
41,"Friday, May 19",CHC,MIL,L,3,6,,21-20,3,3.0,Peralta,Montgomery,Torres,3:27,D,36923,-,,2017,CHC
42,"Sunday, May 21",CHC,MIL,W,13,6,,22-20,3,2.0,Arrieta,Anderson,,3:32,D,41671,+,,2017,CHC
43,"Monday, May 22",CHC,SFG,L,4,6,,22-21,3,2.5,Blach,Lackey,Melancon,2:59,N,36204,-,,2017,CHC
44,"Tuesday, May 23",CHC,SFG,W,4,1,,23-21,2,1.5,Lester,Cueto,,2:05,N,32905,+,,2017,CHC
45,"Wednesday, May 24",CHC,SFG,W,5,4,,24-21,2,0.5,Hendricks,Moore,Davis,3:05,N,35617,++,,2017,CHC
46,"Thursday, May 25",CHC,SFG,W,5,1,,25-21,1,up 0.5,Butler,Samardzija,Montgomery,2:33,D,37513,+++,,2017,CHC
53,"Friday, Jun 2",CHC,STL,W,3,2,,26-27,3,2.0,Strop,Rosenthal,Davis,2:47,D,41051,+,,2017,CHC
54,"Saturday, Jun 3",CHC,STL,W,5,3,,27-27,2,1.0,Rondon,Leake,Davis,2:35,D,41164,++,,2017,CHC
55,"Sunday, Jun 4",CHC,STL,W,7,6,,28-27,2,1.0,Strop,Bowman,Uehara,3:00,N,39868,+++,,2017,CHC
